===== 快速查找索引 =====

使用说明：找到图片ID后，告诉Claude："请处理ID为 xxx 的图片"

asset_1770400284937_qxalb71e9 | 现代装-手持道具-喜庆风-灯笼 | 1 (1).jpg
asset_1770403102252_nb4fg8fd8 | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (33).png
asset_1770403113549_upp5gpg3k | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (34).png
asset_1770403125653_tgwy3td0l | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (35).png
asset_1770403139042_zqe9cqjjy | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (36).png
asset_1770403155535_7mimhmwbf | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (37).png
asset_1770403168031_ulvauihdl | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (39).png
asset_1770403181946_v6ag4f0c3 | 唐装-坐姿-喜庆风-灯笼 | 图片元素替换与裁剪 (4).png
asset_1770403192900_9gx9zt08p | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (40).png
asset_1770403207298_f5612tpw8 | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (41).png
asset_1770403222446_4lz47tu4w | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (42).png
asset_1770403232022_ehjfdtnkr | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (43).png
asset_1770403244947_bc0rfmxa0 | 财神装-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (44).png
asset_1770403255942_typay458y | 汉服-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (45).png
asset_1770403272937_99ujqz9ir | 财神装-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (46).png
asset_1770403287443_1i0zp3nvg | 汉服-站立-传统风-灯笼 | 图片元素替换与裁剪 (47).png
asset_1770403303453_t8lcb3tpl | 财神装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (48).png
asset_1770403317704_7o61o87s7 | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (49).png
asset_1770403329828_t52sb42rp | 汉服-站立-喜庆风-无道具 | 图片元素替换与裁剪 (5).png
asset_1770403342777_w1fz1ih3t | 财神装-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (50).png
asset_1770403357216_s5mx1g370 | 汉服-站立-喜庆风-灯笼 | 图片元素替换与裁剪 (51).png
asset_1770403367064_wh0j54d1f | 儿童服装-拜年姿势-喜庆风-无道具 | 图片元素替换与裁剪 (52).png
asset_1770403378881_2trxtc5e8 | 唐装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (53).png
asset_1770403389470_4v2igtmwu | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (54).png
asset_1770403401824_lra5ha74y | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (55).png
asset_1770403413591_ggna8yp0v | 儿童装-拜年姿势-喜庆风-无道具 | 图片元素替换与裁剪 (56).png
asset_1770403426280_7lyr16p8v | 儿童装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (57).png
asset_1770403439666_qwe54h80j | 唐装-拜年姿势-喜庆风-无道具 | 图片元素替换与裁剪 (58).png
asset_1770403452302_5d4u8wcbd | 财神装-站立-喜庆风-无道具 | 图片元素替换与裁剪 (59).png
asset_1770403463239_0ezomuj5v | 儿童装-招财手势-喜庆风-无道具 | 图片元素替换与裁剪 (60).png
asset_1770403475166_e121b74jw | 儿童装-拜年姿势-喜庆风-无道具 | 图片元素替换与裁剪 (61).png
asset_1770403486380_4ld2kf32a | 汉服-坐姿-喜庆风-灯笼 | 图片元素替换与裁剪 (62).png
asset_1770403498211_7rb0rdo35 | 汉服-坐姿-喜庆风-灯笼 | 图片元素替换与裁剪 (7).png
asset_1770403510833_uiqqn9f5n | 唐装-坐姿-喜庆风-春联 | 图片元素替换与裁剪 (8).png
asset_1770403523099_h8y68l7up | 汉服-手持道具-喜庆风-春联 | 图片元素替换与裁剪 (9).png
asset_1770403535321_suacdp86k | 汉服-站立-喜庆风-灯笼 | 图片元素替换与裁剪.png
asset_1770405136526_66oqctnkt | 汉服-站立-传统风-无道具 | 12345.png
asset_1770405154421_4oij6us3z | 现代装-手持灯笼-喜庆风-红色 | AirPods Max 无蓝牙连接电脑 (1).png
